UPC,Product Name,SKU,Category,Subcategory,Wholesale Cost,MSRP,Size,Color,Description
123456789051,Cam Set - 4 Piece,CM-001,Safety,Protection,185.00,369.99,,Multi,Set of 4 spring-loaded camming devices
123456789052,Helmet - Sport,HM-001,Safety,Helmets,35.00,69.99,,White,Lightweight sport climbing helmet
123456789053,Helmet - Multi-Purpose,HM-002,Safety,Helmets,45.00,89.99,,Black,Multi-purpose climbing and mountaineering helmet
123456789054,Headlamp,HL-001,Accessories,Lighting,25.00,49.99,,Black,Rechargeable LED headlamp
123456789055,Guidebook - Local Crags,GB-001,Books,Guidebooks,15.00,29.99,,Multi,Comprehensive local climbing guidebook
123456789056,Training Guide,TG-001,Books,Training,20.00,39.99,,Multi,Complete climbing training guide
123456789057,First Aid Kit,FA-001,Safety,First Aid,20.00,39.99,,Red,Compact climbing first aid kit
123456789058,Sunglasses,SG-001,Accessories,Eyewear,25.00,49.99,,Black,Polarized climbing sunglasses
123456789059,Skin Balm,SB-001,Accessories,Skin Care,8.00,15.99,,Clear,Healing balm for damaged skin
123456789060,Hand Cream,HC-001,Accessories,Skin Care,10.00,19.99,,White,Moisturizing hand cream for climbers
